pref_name,latitude,longitude
北海道,43.0642,141.3468
青森県,40.8246,140.7406
岩手県,39.7036,141.1527
宮城県,38.2688,140.8721
秋田県,39.7186,140.1024
山形県,38.2404,140.3633
福島県,37.7503,140.4676
茨城県,36.3418,140.4468
栃木県,36.5658,139.8836
群馬県,36.3912,139.0602
埼玉県,35.8574,139.6489
千葉県,35.6051,140.1233
東京都,35.6895,139.6917
神奈川県,35.4437,139.6380
新潟県,37.9024,139.0231
富山県,36.6953,137.2113
石川県,36.5947,136.6256
福井県,36.0652,136.2216
山梨県,35.6639,138.5683
長野県,36.6513,138.1810
岐阜県,35.3912,136.7223
静岡県,34.9769,138.3831
愛知県,35.1802,136.9066
三重県,34.7303,136.5086
滋賀県,35.0045,135.8686
京都府,35.0211,135.7556
大阪府,34.6864,135.5200
兵庫県,34.6913,135.1830
奈良県,34.6853,135.8327
和歌山県,34.2260,135.1675
鳥取県,35.5036,134.2383
島根県,35.4722,132.7441
岡山県,34.6618,133.9350
広島県,34.3966,132.4596
山口県,34.1860,131.4705
徳島県,34.0658,134.5594
香川県,34.3401,134.0434
愛媛県,33.8417,132.7661
高知県,33.5597,133.5311
福岡県,33.6064,130.4182
佐賀県,33.2494,130.3009
長崎県,32.7448,129.8737
熊本県,32.7905,130.7417
大分県,33.2382,131.6126
宮崎県,31.9111,131.4239
鹿児島県,31.5602,130.5579
沖縄県,26.2124,127.6809
